Report Start,Report End,Day of the Week,Age,Gender,Impressions,Clicks,Click Through Rate,Amount Spent,Total Conversions,Total Conversion Rate,Cost / Total Conversion,Approved Conversions,Approved Conversion Rate,Cost / Approved Conversion,Disapproved Conversions,Disapproved Conversion Rate,Cost / Disapproved Conversion
19/08/2017,19/08/2017,Saturday,40-44,Female,228629,38,0.02%,$57.00,2,5.0%,$28.50,0,0%,$0.00,2,100%,$14.25
19/08/2017,19/08/2017,Saturday,45-49,Male,114370,18,0.02%,$33.66,1,6.0%,$33.66,0,0%,$0.00,1,100%,$33.66
19/08/2017,19/08/2017,Saturday,45-49,Female,46150,15,0.03%,$20.18,1,7.0%,$20.18,1,7%,$20.18,0,0%,$0
19/08/2017,19/08/2017,Saturday,40-44,Male,153586,28,0.02%,$43.01,2,7.0%,$21.51,0,0%,$0.00,2,100%,$10.75
19/08/2017,19/08/2017,Saturday,45-49,Female,151531,28,0.02%,$40.29,2,7.0%,$20.15,0,0%,$0.00,2,100%,$10.07
19/08/2017,19/08/2017,Saturday,35-39,Female,1184580,194,0.02%,$297.83,14,7.0%,$21.27,3,2%,$99.28,11,79%,$1.93
19/08/2017,19/08/2017,Saturday,40-44,Female,39035,13,0.03%,$19.33,1,8.0%,$19.33,0,0%,$0.00,1,100%,$19.33
19/08/2017,19/08/2017,Saturday,35-39,Female,120335,26,0.02%,$36.23,2,8.0%,$18.12,0,0%,$0.00,2,100%,$9.06
19/08/2017,19/08/2017,Saturday,40-44,Male,172827,25,0.01%,$38.42,2,8.0%,$19.21,0,0%,$0.00,2,100%,$9.61
19/08/2017,19/08/2017,Saturday,40-44,Male,123126,25,0.02%,$39.73,2,8.0%,$19.87,1,4%,$39.73,1,50%,$19.87
19/08/2017,19/08/2017,Saturday,45-49,Female,877769,160,0.02%,$232.59,13,8.0%,$17.89,4,3%,$58.15,9,69%,$1.99
19/08/2017,19/08/2017,Saturday,40-44,Female,758340,159,0.02%,$233.11,13,8.0%,$17.93,4,3%,$58.28,9,69%,$1.99
19/08/2017,19/08/2017,Saturday,40-44,Female,147159,36,0.02%,$58.16,3,8.0%,$19.39,1,3%,$58.16,2,67%,$9.69
19/08/2017,19/08/2017,Saturday,35-39,Female,66277,12,0.02%,$17.30,1,8.0%,$17.30,0,0%,$0.00,1,100%,$17.30
19/08/2017,19/08/2017,Saturday,45-49,Female,71982,11,0.02%,$16.34,1,9.0%,$16.34,0,0%,$0.00,1,100%,$16.34
19/08/2017,19/08/2017,Saturday,40-44,Female,27081,9,0.03%,$10.77,1,11.0%,$10.77,1,11%,$10.77,0,0%,$0
19/08/2017,19/08/2017,Saturday,30-34,Male,570699,80,0.01%,$138.77,9,11.0%,$15.42,2,3%,$69.39,7,78%,$2.20
19/08/2017,19/08/2017,Saturday,45-49,Female,212508,33,0.02%,$47.69,4,12.0%,$11.92,1,3%,$47.69,3,75%,$3.97
19/08/2017,19/08/2017,Saturday,40-44,Male,51550,8,0.02%,$14.04,1,13.0%,$14.04,0,0%,$0.00,1,100%,$14.04
19/08/2017,19/08/2017,Saturday,45-49,Male,45491,8,0.02%,$11.01,1,13.0%,$11.01,0,0%,$0.00,1,100%,$11.01
19/08/2017,19/08/2017,Saturday,45-49,Female,558666,110,0.02%,$162.64,14,13.0%,$11.62,5,5%,$32.53,9,64%,$1.29
19/08/2017,19/08/2017,Saturday,35-39,Female,221576,47,0.02%,$66.79,6,13.0%,$11.13,1,2%,$66.79,5,83%,$2.23
19/08/2017,19/08/2017,Saturday,40-44,Female,21664,7,0.03%,$10.62,1,14.0%,$10.62,1,14%,$10.62,0,0%,$0
19/08/2017,19/08/2017,Saturday,35-39,Female,18421,7,0.04%,$10.08,1,14.0%,$10.08,0,0%,$0.00,1,100%,$10.08
19/08/2017,19/08/2017,Saturday,45-49,Male,59838,7,0.01%,$11.11,1,14.0%,$11.11,0,0%,$0.00,1,100%,$11.11
19/08/2017,19/08/2017,Saturday,30-34,Male,1063508,145,0.01%,$260.38,23,16.0%,$11.32,7,5%,$37.20,16,70%,$0.71
19/08/2017,19/08/2017,Saturday,30-34,Male,50523,6,0.01%,$8.55,1,17.0%,$8.55,0,0%,$0.00,1,100%,$8.55
19/08/2017,19/08/2017,Saturday,40-44,Female,12318,5,0.04%,$6.34,1,20.0%,$6.34,1,20%,$6.34,0,0%,$0
19/08/2017,19/08/2017,Saturday,40-44,Male,34453,5,0.01%,$7.71,1,20.0%,$7.71,1,20%,$7.71,0,0%,$0
19/08/2017,19/08/2017,Saturday,40-44,Male,31202,5,0.02%,$6.73,1,20.0%,$6.73,0,0%,$0.00,1,100%,$6.73
19/08/2017,19/08/2017,Saturday,30-34,Female,57022,13,0.02%,$20.29,3,23.0%,$6.76,3,23%,$6.76,0,0%,$0
19/08/2017,19/08/2017,Saturday,40-44,Male,19113,4,0.02%,$5.52,1,25.0%,$5.52,0,0%,$0.00,1,100%,$5.52
19/08/2017,19/08/2017,Saturday,35-39,Female,12403,4,0.03%,$5.21,1,25.0%,$5.21,1,25%,$5.21,0,0%,$0
19/08/2017,19/08/2017,Saturday,40-44,Female,9112,4,0.04%,$5.46,1,25.0%,$5.46,1,25%,$5.46,0,0%,$0
19/08/2017,19/08/2017,Saturday,30-34,Female,51816,8,0.02%,$10.23,2,25.0%,$5.12,1,13%,$10.23,1,50%,$5.12
19/08/2017,19/08/2017,Saturday,40-44,Male,10976,2,0.02%,$1.69,1,50.0%,$1.69,1,50%,$1.69,0,0%,$0
19/08/2017,19/08/2017,Saturday,40-44,Female,6907,2,0.03%,$2.35,1,50.0%,$2.35,0,0%,$0.00,1,100%,$2.35
19/08/2017,19/08/2017,Saturday,45-49,Male,18946,2,0.01%,$3.60,1,50.0%,$3.60,0,0%,$0.00,1,100%,$3.60
19/08/2017,19/08/2017,Saturday,40-44,Female,20233,4,0.02%,$5.59,3,75.0%,$1.86,0,0%,$0.00,3,100%,$0.62
19/08/2017,19/08/2017,Saturday,30-34,Female,5453,1,0.02%,$1.39,1,100.0%,$1.39,1,100%,$1.39,0,0%,$0
19/08/2017,19/08/2017,Saturday,40-44,Female,4412,1,0.02%,$1.45,1,100.0%,$1.45,0,0%,$0.00,1,100%,$1.45
19/08/2017,19/08/2017,Saturday,35-39,Female,9730,1,0.01%,$1.38,1,100.0%,$1.38,0,0%,$0.00,1,100%,$1.38
19/08/2017,19/08/2017,Saturday,35-39,Female,7449,1,0.01%,$1.64,1,100.0%,$1.64,1,100%,$1.64,0,0%,$0
19/08/2017,19/08/2017,Saturday,35-39,Female,6424,1,0.02%,$0.53,1,100.0%,$0.53,0,0%,$0.00,1,100%,$0.53
19/08/2017,19/08/2017,Saturday,30-34,Female,4783,1,0.02%,$0.86,1,100.0%,$0.86,0,0%,$0.00,1,100%,$0.86
19/08/2017,19/08/2017,Saturday,30-34,Female,6475,1,0.02%,$1.35,1,100.0%,$1.35,0,0%,$0.00,1,100%,$1.35
19/08/2017,19/08/2017,Saturday,45-49,Male,1909,1,0.05%,$0.98,1,100.0%,$0.98,0,0%,$0.00,1,100%,$0.98
19/08/2017,19/08/2017,Saturday,40-44,Male,1884,1,0.05%,$1.41,1,100.0%,$1.41,0,0%,$0.00,1,100%,$1.41
19/08/2017,19/08/2017,Saturday,40-44,Male,2967,1,0.03%,$1.50,1,100.0%,$1.50,1,100%,$1.50,0,0%,$0
19/08/2017,19/08/2017,Saturday,30-34,Female,5517,1,0.02%,$1.23,1,100.0%,$1.23,0,0%,$0.00,1,100%,$1.23
19/08/2017,19/08/2017,Saturday,30-34,Female,20050,4,0.02%,$4.66,4,100.0%,$1.17,1,25%,$4.66,3,75%,$0.39
19/08/2017,19/08/2017,Saturday,45-49,Male,5894,1,0.02%,$1.54,1,100.0%,$1.54,1,100%,$1.54,0,0%,$0
19/08/2017,19/08/2017,Saturday,35-39,Female,9297,2,0.02%,$2.62,2,100.0%,$1.31,1,50%,$2.62,1,50%,$1.31
19/08/2017,19/08/2017,Saturday,35-39,Female,8341,1,0.01%,$1.64,1,100.0%,$1.64,0,0%,$0.00,1,100%,$1.64
19/08/2017,19/08/2017,Saturday,30-34,Female,2879,1,0.03%,$1.59,2,200.0%,$0.80,2,200%,$0.80,0,0%,$0
19/08/2017,19/08/2017,Saturday,35-39,Female,498,0,0.00%,$0.00,1,0.0%,$0.00,1,0%,$0.00,0,0%,$0
19/08/2017,19/08/2017,Saturday,40-44,Female,648,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
19/08/2017,19/08/2017,Saturday,40-44,Female,708,0,0.00%,$0.00,1,0.0%,$0.00,1,0%,$0.00,0,0%,$0
19/08/2017,19/08/2017,Saturday,40-44,Female,926,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
19/08/2017,19/08/2017,Saturday,40-44,Female,402,0,0.00%,$0.00,1,0.0%,$0.00,1,0%,$0.00,0,0%,$0
19/08/2017,19/08/2017,Saturday,40-44,Female,1338,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
19/08/2017,19/08/2017,Saturday,45-49,Female,1314,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
19/08/2017,19/08/2017,Saturday,30-34,Male,2916,0,0.00%,$0.00,1,0.0%,$0.00,1,0%,$0.00,0,0%,$0
19/08/2017,19/08/2017,Saturday,30-34,Male,3396,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
19/08/2017,19/08/2017,Saturday,30-34,Male,977,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
19/08/2017,19/08/2017,Saturday,45-49,Male,818,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
19/08/2017,19/08/2017,Saturday,45-49,Male,572,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
19/08/2017,19/08/2017,Saturday,30-34,Male,219,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
19/08/2017,19/08/2017,Saturday,30-34,Male,540,0,0.00%,$0.00,1,0.0%,$0.00,1,0%,$0.00,0,0%,$0
19/08/2017,19/08/2017,Saturday,30-34,Male,550,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
19/08/2017,19/08/2017,Saturday,45-49,Male,255,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
19/08/2017,19/08/2017,Saturday,30-34,Female,457,0,0.00%,$0.00,1,0.0%,$0.00,1,0%,$0.00,0,0%,$0
19/08/2017,19/08/2017,Saturday,30-34,Female,1539,0,0.00%,$0.00,1,0.0%,$0.00,1,0%,$0.00,0,0%,$0
19/08/2017,19/08/2017,Saturday,30-34,Female,3189,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
19/08/2017,19/08/2017,Saturday,30-34,Female,3348,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
19/08/2017,19/08/2017,Saturday,45-49,Male,2254,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
19/08/2017,19/08/2017,Saturday,35-39,Female,699,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
19/08/2017,19/08/2017,Saturday,35-39,Female,1104,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
20/08/2017,20/08/2017,Sunday,40-44,Female,402975,83,0.02%,$120.90,1,1.0%,$120.90,0,0%,$0.00,1,100%,$120.90
20/08/2017,20/08/2017,Sunday,35-39,Female,320657,77,0.02%,$115.88,2,3.0%,$57.94,0,0%,$0.00,2,100%,$28.97
20/08/2017,20/08/2017,Sunday,40-44,Female,280240,61,0.02%,$87.99,2,3.0%,$44.00,2,3%,$44.00,0,0%,$0
20/08/2017,20/08/2017,Sunday,40-44,Female,877535,149,0.02%,$217.78,5,3.0%,$43.56,2,1%,$108.89,3,60%,$14.52
20/08/2017,20/08/2017,Sunday,45-49,Female,493821,116,0.02%,$176.38,4,3.0%,$44.10,1,1%,$176.38,3,75%,$14.70
20/08/2017,20/08/2017,Sunday,45-49,Female,104578,29,0.03%,$39.25,1,3.0%,$39.25,1,3%,$39.25,0,0%,$0
20/08/2017,20/08/2017,Sunday,45-49,Male,464036,77,0.02%,$123.55,3,4.0%,$41.18,1,1%,$123.55,2,67%,$20.59
20/08/2017,20/08/2017,Sunday,45-49,Male,478480,75,0.02%,$135.75,3,4.0%,$45.25,1,1%,$135.75,2,67%,$22.63
20/08/2017,20/08/2017,Sunday,40-44,Female,419922,75,0.02%,$105.45,3,4.0%,$35.15,1,1%,$105.45,2,67%,$17.58
20/08/2017,20/08/2017,Sunday,40-44,Male,242234,48,0.02%,$68.06,2,4.0%,$34.03,0,0%,$0.00,2,100%,$17.02
20/08/2017,20/08/2017,Sunday,40-44,Male,128595,23,0.02%,$36.48,1,4.0%,$36.48,1,4%,$36.48,0,0%,$0
20/08/2017,20/08/2017,Sunday,40-44,Female,1357386,223,0.02%,$323.06,10,4.0%,$32.31,1,0%,$323.06,9,90%,$3.59
20/08/2017,20/08/2017,Sunday,40-44,Male,212496,44,0.02%,$74.83,2,5.0%,$37.42,1,2%,$74.83,1,50%,$37.42
20/08/2017,20/08/2017,Sunday,30-34,Male,209461,20,0.01%,$34.19,1,5.0%,$34.19,0,0%,$0.00,1,100%,$34.19
20/08/2017,20/08/2017,Sunday,40-44,Male,188440,40,0.02%,$60.73,2,5.0%,$30.37,1,3%,$60.73,1,50%,$30.37
20/08/2017,20/08/2017,Sunday,35-39,Female,98057,20,0.02%,$31.01,1,5.0%,$31.01,1,5%,$31.01,0,0%,$0
20/08/2017,20/08/2017,Sunday,40-44,Male,109289,19,0.02%,$31.03,1,5.0%,$31.03,0,0%,$0.00,1,100%,$31.03
20/08/2017,20/08/2017,Sunday,40-44,Male,208572,36,0.02%,$60.76,2,6.0%,$30.38,1,3%,$60.76,1,50%,$30.38
20/08/2017,20/08/2017,Sunday,45-49,Female,904907,195,0.02%,$279.22,11,6.0%,$25.38,1,1%,$279.22,10,91%,$2.54
20/08/2017,20/08/2017,Sunday,30-34,Female,254344,35,0.01%,$56.17,2,6.0%,$28.09,1,3%,$56.17,1,50%,$28.09
20/08/2017,20/08/2017,Sunday,45-49,Male,428812,66,0.02%,$116.88,4,6.0%,$29.22,2,3%,$58.44,2,50%,$14.61
20/08/2017,20/08/2017,Sunday,35-39,Male,382537,63,0.02%,$113.99,4,6.0%,$28.50,3,5%,$38.00,1,25%,$28.50
20/08/2017,20/08/2017,Sunday,35-39,Female,78468,15,0.02%,$23.65,1,7.0%,$23.65,0,0%,$0.00,1,100%,$23.65
20/08/2017,20/08/2017,Sunday,35-39,Female,244074,57,0.02%,$84.51,4,7.0%,$21.13,2,4%,$42.26,2,50%,$10.56
20/08/2017,20/08/2017,Sunday,40-44,Male,77794,14,0.02%,$19.11,1,7.0%,$19.11,1,7%,$19.11,0,0%,$0
20/08/2017,20/08/2017,Sunday,35-39,Female,238735,56,0.02%,$84.66,4,7.0%,$21.17,1,2%,$84.66,3,75%,$7.06
20/08/2017,20/08/2017,Sunday,45-49,Female,92011,27,0.03%,$34.39,2,7.0%,$17.20,1,4%,$34.39,1,50%,$17.20
20/08/2017,20/08/2017,Sunday,30-34,Female,373110,49,0.01%,$75.70,4,8.0%,$18.93,2,4%,$37.85,2,50%,$9.46
20/08/2017,20/08/2017,Sunday,40-44,Male,187236,24,0.01%,$34.87,2,8.0%,$17.44,2,8%,$17.44,0,0%,$0
20/08/2017,20/08/2017,Sunday,45-49,Female,168714,24,0.01%,$36.01,2,8.0%,$18.01,2,8%,$18.01,0,0%,$0
20/08/2017,20/08/2017,Sunday,30-34,Female,157705,23,0.01%,$39.23,2,9.0%,$19.62,0,0%,$0.00,2,100%,$9.81
20/08/2017,20/08/2017,Sunday,45-49,Female,33664,11,0.03%,$12.51,1,9.0%,$12.51,0,0%,$0.00,1,100%,$12.51
20/08/2017,20/08/2017,Sunday,30-34,Male,278225,33,0.01%,$60.20,3,9.0%,$20.07,0,0%,$0.00,3,100%,$6.69
20/08/2017,20/08/2017,Sunday,45-49,Female,589270,107,0.02%,$158.05,10,9.0%,$15.81,4,4%,$39.51,6,60%,$2.63
20/08/2017,20/08/2017,Sunday,35-39,Male,461356,64,0.01%,$121.10,6,9.0%,$20.18,3,5%,$40.37,3,50%,$6.73
20/08/2017,20/08/2017,Sunday,40-44,Male,68619,10,0.01%,$14.96,1,10.0%,$14.96,0,0%,$0.00,1,100%,$14.96
20/08/2017,20/08/2017,Sunday,40-44,Male,67710,10,0.01%,$15.15,1,10.0%,$15.15,0,0%,$0.00,1,100%,$15.15
20/08/2017,20/08/2017,Sunday,40-44,Female,250234,40,0.02%,$62.32,4,10.0%,$15.58,1,3%,$62.32,3,75%,$5.19
20/08/2017,20/08/2017,Sunday,40-44,Male,137879,19,0.01%,$28.47,2,11.0%,$14.24,0,0%,$0.00,2,100%,$7.12
20/08/2017,20/08/2017,Sunday,30-34,Male,87935,9,0.01%,$15.63,1,11.0%,$15.63,0,0%,$0.00,1,100%,$15.63
20/08/2017,20/08/2017,Sunday,40-44,Male,72157,9,0.01%,$13.50,1,11.0%,$13.50,1,11%,$13.50,0,0%,$0
20/08/2017,20/08/2017,Sunday,30-34,Female,935646,170,0.02%,$256.47,19,11.0%,$13.50,6,4%,$42.75,13,68%,$1.04
20/08/2017,20/08/2017,Sunday,30-34,Female,190560,26,0.01%,$41.63,3,12.0%,$13.88,1,4%,$41.63,2,67%,$6.94
20/08/2017,20/08/2017,Sunday,35-39,Female,39146,8,0.02%,$13.06,1,13.0%,$13.06,0,0%,$0.00,1,100%,$13.06
20/08/2017,20/08/2017,Sunday,40-44,Female,1137635,211,0.02%,$301.05,30,14.0%,$10.04,10,5%,$30.11,20,67%,$0.50
20/08/2017,20/08/2017,Sunday,30-34,Female,34740,7,0.02%,$13.41,1,14.0%,$13.41,1,14%,$13.41,0,0%,$0
20/08/2017,20/08/2017,Sunday,30-34,Male,88443,7,0.01%,$13.04,1,14.0%,$13.04,1,14%,$13.04,0,0%,$0
20/08/2017,20/08/2017,Sunday,35-39,Female,104648,24,0.02%,$33.33,4,17.0%,$8.33,2,8%,$16.67,2,50%,$4.17
20/08/2017,20/08/2017,Sunday,35-39,Female,20277,6,0.03%,$8.05,1,17.0%,$8.05,0,0%,$0.00,1,100%,$8.05
20/08/2017,20/08/2017,Sunday,30-34,Male,876671,120,0.01%,$216.56,22,18.0%,$9.84,4,3%,$54.14,18,82%,$0.55
20/08/2017,20/08/2017,Sunday,45-49,Female,10677,5,0.05%,$7.27,1,20.0%,$7.27,0,0%,$0.00,1,100%,$7.27
20/08/2017,20/08/2017,Sunday,40-44,Male,32574,5,0.02%,$7.48,1,20.0%,$7.48,0,0%,$0.00,1,100%,$7.48
20/08/2017,20/08/2017,Sunday,40-44,Male,33154,5,0.02%,$7.88,1,20.0%,$7.88,1,20%,$7.88,0,0%,$0
20/08/2017,20/08/2017,Sunday,30-34,Male,187856,23,0.01%,$38.39,5,22.0%,$7.68,1,4%,$38.39,4,80%,$1.92
20/08/2017,20/08/2017,Sunday,30-34,Female,11803,3,0.03%,$4.44,1,33.0%,$4.44,0,0%,$0.00,1,100%,$4.44
20/08/2017,20/08/2017,Sunday,35-39,Female,8504,3,0.04%,$3.34,1,33.0%,$3.34,1,33%,$3.34,0,0%,$0
20/08/2017,20/08/2017,Sunday,30-34,Female,17553,3,0.02%,$4.59,1,33.0%,$4.59,0,0%,$0.00,1,100%,$4.59
20/08/2017,20/08/2017,Sunday,30-34,Male,9142,3,0.03%,$3.75,1,33.0%,$3.75,0,0%,$0.00,1,100%,$3.75
20/08/2017,20/08/2017,Sunday,40-44,Female,7337,3,0.04%,$4.08,1,33.0%,$4.08,0,0%,$0.00,1,100%,$4.08
20/08/2017,20/08/2017,Sunday,40-44,Male,76703,9,0.01%,$12.15,3,33.0%,$4.05,1,11%,$12.15,2,67%,$2.03
20/08/2017,20/08/2017,Sunday,30-34,Male,5475,2,0.04%,$2.73,1,50.0%,$2.73,1,50%,$2.73,0,0%,$0
20/08/2017,20/08/2017,Sunday,30-34,Female,8254,2,0.02%,$2.32,1,50.0%,$2.32,1,50%,$2.32,0,0%,$0
20/08/2017,20/08/2017,Sunday,30-34,Female,25267,4,0.02%,$4.94,2,50.0%,$2.47,1,25%,$4.94,1,50%,$2.47
20/08/2017,20/08/2017,Sunday,45-49,Female,3277,2,0.06%,$2.68,1,50.0%,$2.68,0,0%,$0.00,1,100%,$2.68
20/08/2017,20/08/2017,Sunday,30-34,Male,41030,3,0.01%,$5.14,2,67.0%,$2.57,1,33%,$5.14,1,50%,$2.57
20/08/2017,20/08/2017,Sunday,30-34,Female,4259,1,0.02%,$1.57,1,100.0%,$1.57,1,100%,$1.57,0,0%,$0
20/08/2017,20/08/2017,Sunday,30-34,Female,5323,1,0.02%,$1.29,1,100.0%,$1.29,1,100%,$1.29,0,0%,$0
20/08/2017,20/08/2017,Sunday,35-39,Female,5024,1,0.02%,$1.41,1,100.0%,$1.41,1,100%,$1.41,0,0%,$0
20/08/2017,20/08/2017,Sunday,30-34,Female,3343,1,0.03%,$0.54,1,100.0%,$0.54,0,0%,$0.00,1,100%,$0.54
20/08/2017,20/08/2017,Sunday,35-39,Female,3010,1,0.03%,$0.86,1,100.0%,$0.86,1,100%,$0.86,0,0%,$0
20/08/2017,20/08/2017,Sunday,30-34,Male,6142,1,0.02%,$1.33,1,100.0%,$1.33,0,0%,$0.00,1,100%,$1.33
20/08/2017,20/08/2017,Sunday,30-34,Female,2749,1,0.04%,$1.39,1,100.0%,$1.39,0,0%,$0.00,1,100%,$1.39
20/08/2017,20/08/2017,Sunday,40-44,Female,3149,1,0.03%,$1.48,1,100.0%,$1.48,0,0%,$0.00,1,100%,$1.48
20/08/2017,20/08/2017,Sunday,35-39,Female,2563,1,0.04%,$1.48,1,100.0%,$1.48,0,0%,$0.00,1,100%,$1.48
20/08/2017,20/08/2017,Sunday,35-39,Female,2189,1,0.05%,$0.41,1,100.0%,$0.41,0,0%,$0.00,1,100%,$0.41
20/08/2017,20/08/2017,Sunday,40-44,Male,9773,1,0.01%,$1.46,1,100.0%,$1.46,0,0%,$0.00,1,100%,$1.46
20/08/2017,20/08/2017,Sunday,40-44,Male,17559,1,0.01%,$1.49,1,100.0%,$1.49,1,100%,$1.49,0,0%,$0
20/08/2017,20/08/2017,Sunday,30-34,Male,26316,2,0.01%,$3.24,3,150.0%,$1.08,0,0%,$0.00,3,100%,$0.36
20/08/2017,20/08/2017,Sunday,30-34,Female,1554,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
20/08/2017,20/08/2017,Sunday,45-49,Male,533,0,0.00%,$0.00,1,0.0%,$0.00,1,0%,$0.00,0,0%,$0
20/08/2017,20/08/2017,Sunday,45-49,Male,1447,0,0.00%,$0.00,1,0.0%,$0.00,1,0%,$0.00,0,0%,$0
20/08/2017,20/08/2017,Sunday,30-34,Female,523,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
20/08/2017,20/08/2017,Sunday,30-34,Female,1873,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
20/08/2017,20/08/2017,Sunday,30-34,Female,658,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
20/08/2017,20/08/2017,Sunday,30-34,Female,1539,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
20/08/2017,20/08/2017,Sunday,40-44,Female,542,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
20/08/2017,20/08/2017,Sunday,35-39,Male,2936,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
20/08/2017,20/08/2017,Sunday,30-34,Female,1984,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
20/08/2017,20/08/2017,Sunday,30-34,Female,535,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
20/08/2017,20/08/2017,Sunday,40-44,Female,979,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
20/08/2017,20/08/2017,Sunday,40-44,Female,357,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
20/08/2017,20/08/2017,Sunday,40-44,Female,848,0,0.00%,$0.00,1,0.0%,$0.00,1,0%,$0.00,0,0%,$0
20/08/2017,20/08/2017,Sunday,40-44,Female,87,0,0.00%,$0.00,1,0.0%,$0.00,1,0%,$0.00,0,0%,$0
21/08/2017,21/08/2017,Monday,30-34,Male,43756,5,0.01%,$5.44,0,0.0%,#DIV/0!,0,0%,$0.00,0,0%,$0
21/08/2017,21/08/2017,Monday,30-34,Female,588617,119,0.02%,$169.92,2,2.0%,$84.96,0,0%,$0.00,2,100%,$42.48
21/08/2017,21/08/2017,Monday,45-49,Female,175389,55,0.03%,$81.61,1,2.0%,$81.61,0,0%,$0.00,1,100%,$81.61
21/08/2017,21/08/2017,Monday,30-34,Female,1189509,268,0.02%,$375.72,7,3.0%,$53.67,3,1%,$125.24,4,57%,$13.42
21/08/2017,21/08/2017,Monday,30-34,Female,240497,36,0.01%,$51.84,1,3.0%,$51.84,0,0%,$0.00,1,100%,$51.84
21/08/2017,21/08/2017,Monday,40-44,Male,196253,32,0.02%,$55.10,1,3.0%,$55.10,0,0%,$0.00,1,100%,$55.10
21/08/2017,21/08/2017,Monday,40-44,Male,280764,49,0.02%,$81.36,2,4.0%,$40.68,1,2%,$81.36,1,50%,$40.68
21/08/2017,21/08/2017,Monday,45-49,Female,73634,23,0.03%,$32.98,1,4.0%,$32.98,0,0%,$0.00,1,100%,$32.98
21/08/2017,21/08/2017,Monday,35-39,Male,233404,43,0.02%,$70.41,2,5.0%,$35.21,1,2%,$70.41,1,50%,$35.21
21/08/2017,21/08/2017,Monday,40-44,Male,400844,85,0.02%,$140.97,4,5.0%,$35.24,2,2%,$70.49,2,50%,$17.62
21/08/2017,21/08/2017,Monday,45-49,Female,70702,20,0.03%,$31.71,1,5.0%,$31.71,0,0%,$0.00,1,100%,$31.71
21/08/2017,21/08/2017,Monday,30-34,Female,107548,19,0.02%,$29.31,1,5.0%,$29.31,0,0%,$0.00,1,100%,$29.31
21/08/2017,21/08/2017,Monday,45-49,Female,40126,16,0.04%,$25.86,1,6.0%,$25.86,0,0%,$0.00,1,100%,$25.86
21/08/2017,21/08/2017,Monday,30-34,Male,169588,16,0.01%,$27.80,1,6.0%,$27.80,0,0%,$0.00,1,100%,$27.80
21/08/2017,21/08/2017,Monday,35-39,Male,128859,16,0.01%,$23.70,1,6.0%,$23.70,0,0%,$0.00,1,100%,$23.70
21/08/2017,21/08/2017,Monday,40-44,Male,348180,41,0.01%,$60.23,3,7.0%,$20.08,1,2%,$60.23,2,67%,$10.04
21/08/2017,21/08/2017,Monday,30-34,Female,83270,13,0.02%,$17.74,1,8.0%,$17.74,0,0%,$0.00,1,100%,$17.74
21/08/2017,21/08/2017,Monday,30-34,Female,606786,127,0.02%,$179.05,11,9.0%,$16.28,3,2%,$59.68,8,73%,$2.03
21/08/2017,21/08/2017,Monday,30-34,Female,2223278,421,0.02%,$612.30,38,9.0%,$16.11,13,3%,$47.10,25,66%,$0.64
21/08/2017,21/08/2017,Monday,40-44,Male,63660,11,0.02%,$16.47,1,9.0%,$16.47,1,9%,$16.47,0,0%,$0
